ID,Birth_Date,Current_Location,Sire,Dam,Sex,Event_Type,Date,Location,
1,"01/01/1913
+/- 3 year","MILWAUKE
E",UND,UND,Female,Birth/Hatch,"01/01/1913
+/- 3 year","Undetermin
ed",
,,,,,,Transfer,22/02/1914,UNDETER MI,
,,,,,,Transfer,23/02/1914,"MILWAUKE
E",
,,,,,,GO LTF,23/02/1914,MILWAUKE E,
2,"01/01/1972
+/- 3 year",NATAVPGH,WILD,WILD,Female,Birth/Hatch,"01/01/1972
+/- 3 year",Bolivia / ~,
,,,,,,Wild Capture,"01/01/1972
+/- 3 year",Bolivia / ~,
,,,,,,Transfer,"01/01/1972
+/- 3 year",UNKNOWN,
,,,,,,GO LTF,"01/01/1972
+/- 3 year","BOLIVIA:
Invalid use of GeoRef",
,,,,,,Return from LTF,"01/06/1972
+/- 3 year","BOLIVIA:
Invalid use of GeoRef",
,,,,,,Transfer,Undetermin ed,BLU RIDGE,
,,,,,,GO LTF,"Undetermin
ed",BLU RIDGE,
,,,,,,Return from LTF,06/10/1976,BLU RIDGE,
,,,,,,Transfer,06/10/1976,NY BRONX,
,,,,,,Transfer,20/05/1977,STCATHER N,
,,,,,,Transfer,28/06/1984,"OKLAHOM
A",
,,,,,,Transfer,25/09/1996,NATAVPGH,
,,,,,,Death,14/08/2005,NATAVPGH,
3,"01/01/1972
+/- 1 year","ST
AUGUST",WILD,WILD,Male,Birth/Hatch,"01/01/1972
+/- 1 year",Bolivia / ~,
,,,,,,Wild Capture,01/01/1972,Bolivia / ~,
,,,,,,Transfer,14/03/1977,"STCATHER
N",
,,,,,,Transfer,19/02/1981,NY BRONX,
,,,,,,Transfer,18/11/1981,"STCATHER
N",
,,,,,,Transfer,16/11/2001,ST AUGUST,
,,,,,,Death,29/04/2007,"ST
AUGUST",
4,"01/01/1977
+/- 1 year",HEMKER GF,UND,UND,Male,Birth/Hatch,"01/01/1977
+/- 1 year",Undetermin ed,
,,,,,,Transfer,"~>01/01/19
77",UNKN0WN,
,,,,,,GO LTF,"01/01/1977
+/- 1 year",UNDETER MI,
,,,,,,Return from LTF,20/07/1982,UNDETER MI,
,,,,,,Transfer,20/07/1982,OMAHA,
,,,,,,Transfer,27/06/1989,DES MOINE,
,,,,,,Transfer,25/07/1993,OMAHA,
,,,,,,Transfer,20/09/2016,HEMKER GF,
,,,,,,GO LTF,20/09/2016,"HEMKER
GF",
5,"01/01/1979
+/- 1 year",BUSCH TAM,UND,UND,Male,Birth/Hatch,"01/01/1979
+/- 1 year",Undetermin ed,
,,,,,,Transfer,"01/01/1979
+/- 1 year",UNKN0WN,
,,,,,,Transfer,16/12/1981,CYPRESS,
,,,,,,Transfer,12/06/1991,BUSCH TAM,
,,,,,,Transfer,13/11/1996,"SEAWLD
TX",
,,,,,,Transfer,01/11/2003,BUSCH TAM,
7,"01/01/1978
+/- 2 year",PET FARM,UND,UND,Female,Birth/Hatch,"01/01/1978
+/- 2 year","Undetermin
ed",
,,,,,,Transfer,~>01/01/19 78,UNKN0WN,
,,,,,,GO LTF,"01/01/1978
+/- 2 year","UNDETER
MI",
,,,,,,Return from LTF,17/11/1979,UNDETER MI,
,,,,,,Transfer,17/11/1979,"BUSCH
TAM",
,,,,,,Transfer,18/11/1979,PET FARM,
,,,,,,GO LTF,18/11/1979,PET FARM,
,,,,,,"Return from
LTF",18/03/1983,PET FARM,
,,,,,,Death,18/03/1983,PET FARM,
8,"01/01/1979
+/- 2 year",CHATF FLA,UND,UND,Male,Birth/Hatch,"01/01/1979
+/- 2 year",CHATF FLA,
,,,,,,GO LTF,"01/01/1979
+/- 2 year",CHATF FLA,
,,,,,,"Return from
LTF","01/01/1979
+/- 2 year",CHATF FLA,
,,,,,,Transfer,01/01/1979,BUSCH TAM,
,,,,,,Transfer,10/12/1981,CHATF FLA,
,,,,,,GO LTF,10/12/1981,CHATF FLA,
,,,,,,Return from LTF,06/11/1993,CHATF FLA,
,,,,,,Death,06/11/1993,CHATF FLA,
9,"07/01/1979
+/- 2 year",BAKER JIM,UND,UND,Female,Birth/Hatch,"07/01/1979
+/- 2 year",CHATF FLA,
,,,,,,Transfer,"07/01/1980
+/- 1 year",BUSCH TAM,
,,,,,,Transfer,10/12/1981,CHATF FLA,
,,,,,,GO LTF,10/12/1981,CHATF FLA,
,,,,,,Return from LTF,05/09/1994,CHATF FLA,
,,,,,,Transfer,05/09/1994,BAKER JIM,
,,,,,,GO LTF,05/09/1994,BAKER JIM,
10,"01/01/1980
+/- 1 year",SEDGWICK,WILD,WILD,Female,Birth/Hatch,"01/01/1980
+/- 1 year",Bolivia / ~,
,,,,,,Wild Capture,"01/01/1980
+/- 1 year",Bolivia / ~,
,,,,,,Transfer,"01/01/1980
+/- 1 year",UNKN0WN,
,,,,,,"Return from
LTF","01/01/1983
+/- 3 year",ED JONES,
,,,,,,Transfer,23/05/1985,SEDGWICK,
,,,,,,Transfer,15/10/1985,HAL PRES,
,,,,,,GO LTF,15/10/1985,HAL PRES,
,,,,,,Return from LTF,"01/01/1990
+/- 6 year",HAL PRES,
,,,,,,Transfer,"01/01/1990
+/- 6 year",SEDGWICK,
,,,,,,Death,30/12/1996,SEDGWICK,
11,"01/01/1980
+/- 1 year",SAN ANTON,WILD,WILD,Male,Birth/Hatch,"01/01/1980
+/- 1 year",TANAMAR A,
,,,,,,"Wild
Capture","01/01/1981
+/- 1 year","TANAMAR
A",
,,,,,,Transfer,19/10/1984,SAN ANTON,
