ID,Current_Location,Sex,Birth_Date,Sire,Dam,
424,ADVENTURE,Male,08/03/2005,UND,UND,
388,ALENTADO,Undetermined,22/06/1991,185,186,
414,ALENTADO,Undetermined,26/06/1991,185,186,
415,ALENTADO,Undetermined,24/06/1991,185,186,
134,ATASCADER,Male,15/06/1997,3,277,
320,ATASCADER,Undetermined,06/07/2015 +/- 1 month,126,133,
128,BATONROUG,Male,03/01/1997,79,21,
142,BATONROUG,Female,08/02/1999,79,21,
144,BATONROUG,Male,18/04/1999,79,21,
146,BATONROUG,Male,27/02/1997,79,21,
160,BATONROUG,Male,12/03/2002,79,21,
161,BATONROUG,Male,12/03/2002,79,21,
165,BATONROUG,Female,09/02/2005,79,21,
301,BATONROUG,Female,22/03/2011,79,21,
329,BATONROUG,Male,04/02/2012,79,21,
368,BRZY RIDG,Female,~ from 31/07/2000 to 30/09/2000,279,280,
369,BRZY RIDG,Female,~ from 31/07/1997 to 30/09/1997,279,280,
374,BRZY RIDG,Male,~ from 31/07/2000 to 30/09/2000,279,280,
375,BRZY RIDG,Female,~ from 31/07/1998 to 30/09/1998,279,280,
5,BUSCH TAM,Male,01/01/1979 +/- 1 year,UND,UND,
299,BUSCH TAM,Female,29/06/2005,185,186,
318,BUSCH TAM,Male,19/06/2015,31,298,
323,Birds N Beasts Inc/BIRDSNBEA,Female,01/09/2015,UND,UND,
372,CHATFIELD,Undetermined,09/07/1987,279,280,
373,CHATFIELD,Male,06/10/1987,279,280,
420,CHATFIELD,Undetermined,Undetermined,279,280,
421,CHATFIELD,Undetermined,Undetermined,279,280,
422,CHATFIELD,Undetermined,Undetermined,279,280,
311,COLUMBUS,Male,11/05/2012 +/- 1 year,UND,UND,
312,COLUMBUS,Female,09/04/2012 +/- 1 year,UND,UND,
313,COLUMBUS,Female,09/04/2012 +/- 1 year,UND,UND,
285,CRAWFRD W,Undetermined,11/02/2006,185,186,
302,DALLAS,Male,23/06/2010,UND,UND,
303,DALLAS,Male,25/06/2010,UND,UND,
304,DALLAS,Male,01/06/2010,UND,UND,
305,DALLAS,Male,14/06/2010,UND,UND,
287,DREHER PA,Male,23/02/2006,185,186,
363,EL PASO,Female,10/07/2018,UND,UND,
364,EL PASO,Female,10/07/2018,UND,UND,
139,FORTWORTH,Male,01/01/1998 +/- 2 year,UND,UND,
292,FORTWORTH,Female,28/05/2000,UND,UND,
