ID,Current_Location,Sex,Birth_Date,Sire,Dam,Event_Type,Date,Location
1000,SKANAKV,Female,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,Transfer,01/Jan/1986 +/- 6 month,SKANAKV
,,,,,,GO LTF,Undetermined,SKANAKV
1001,SKANAKV,Female,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,Transfer,01/Jan/1985 +/- 6 month,SKANAKV
,,,,,,GO LTF,Undetermined,SKANAKV
1002,HONOLULU,Male,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,Transfer,Undetermined,USDI
,,,,,,Transfer,10-Jun-68,HONOLULU
,,,,,,Death,28-Apr-84,HONOLULU
1003,HONOLULU,Undetermined,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,Transfer,5-Jan-70,HONOLULU
,,,,,,Death,29-Jan-82,HONOLULU
1004,UNDETERMI,Female,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,Transfer,18-Oct-72,HONOLULU
,,,,,,Death,Undetermined,UNDETERMI
1005,UNDETERMI,Female,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,Transfer,18-Oct-72,HONOLULU
,,,,,,Death,Undetermined,UNDETERMI
1006,FITCH H,Male,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Undetermined
,,,,,,Wild Capture,01/Jan/1989 +/- 6 month,Undetermined
,,,,,,Transfer,01/Jan/1989 +/- 6 month,PUBLIC
,,,,,,Transfer,2-Jun-91,FITCH H
,,,,,,Death,12-Jun-91,FITCH H
1007,DUKE PRIM,Female,01/Mar/1983 +/- 6 month,WILD,WILD,Birth/Hatch,01/Mar/1983 +/- 6 month,Viet Nam / ~
,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,Transfer,1-Mar-86,SKANAKV
,,,,,,Transfer,5-Apr-87,DUKE PRIM
,,,,,,Death,12-May-90,DUKE PRIM
