ID,Sex,Birth_Date,Sire,Dam,Event_Type,Date,Location,
1,Male,"May 01, 1981 +/-
6 month",WILD,WILD,Birth/Hatch,"May 01, 1981 +/- 6 month",MEETEETSE,
,,,,,Wild Capture,"Sep 26, 1981",MEETEETSE,
,,,,,Death,"Sep 26, 1981",MEETEETSE,
2,Male,"May 01, 1984 +/-
6 month",WILD,WILD,Birth/Hatch,"May 01, 1984 +/- 6 month",MEETEETSE,
,,,,,Wild Capture,"Oct 07, 1985",MEETEETSE,
,,,,,Death,"Oct 20, 1985",SYBILLE,
3,Female,"Oct 05, 1985 +/-
6 month",WILD,WILD,Birth/Hatch,"Oct 05, 1985 +/- 6 month",MEETEETSE,
,,,,,Wild Capture,"Oct 05, 1985",MEETEETSE,
,,,,,Transfer,"Oct 05, 1985",SYBILLE,
,,,,,Death,"Jan 06, 1986",SYBILLE,
6,Female,"Oct 31, 1985 +/-
6 month",WILD4,WILD5,Birth/Hatch,"Oct 31, 1985 +/- 6 month",MEETEETSE,
,,,,,Wild Capture,"Oct 31, 1985",MEETEETSE,
,,,,,Transfer,"Oct 31, 1985",SYBILLE,
,,,,,Death,"May 09, 1993",SYBILLE,
7,Female,"Oct 05, 1985 +/-
6 month",WILD4,WILD5,Birth/Hatch,"Oct 05, 1985 +/- 6 month",MEETEETSE,
,,,,,Wild Capture,"Oct 05, 1985",MEETEETSE,
,,,,,Transfer,"Oct 05, 1985",SYBILLE,
,,,,,Death,"Dec 27, 1985",SYBILLE,
8,Female,"May 01, 1985 +/-
6 month",WILD,WILD,Birth/Hatch,"May 01, 1985 +/- 6 month",MEETEETSE,
,,,,,Wild Capture,"Oct 11, 1985",MEETEETSE,
,,,,,Transfer,"Oct 11, 1985",SYBILLE,
,,,,,Death,"Nov 12, 1985",SYBILLE,
9,Male,"May 01, 1985 +/-
6 month",WILD,WILD,Birth/Hatch,"May 01, 1985 +/- 6 month",MEETEETSE,
,,,,,Wild Capture,"Sep 12, 1985",MEETEETSE,
,,,,,Transfer,"Sep 12, 1985",SYBILLE,
,,,,,Death,"Dec 08, 1985",SYBILLE,
10,Female,"May 01, 1985 +/-
6 month",WILD,WILD,Birth/Hatch,"May 01, 1985 +/- 6 month",MEETEETSE,
,,,,,Wild Capture,"Nov 02, 1985",MEETEETSE,
,,,,,Transfer,"Nov 02, 1985",SYBILLE,
,,,,,Death,"Jan 23, 1988",SYBILLE,
11,Female,"May 01, 1985 +/-
6 month",WILD,WILD,Birth/Hatch,"May 01, 1985 +/- 6 month",MEETEETSE,
,,,,,Wild Capture,"Oct 29, 1985",MEETEETSE,
,,,,,Transfer,"Oct 30, 1985",SYBILLE,
,,,,,Death,"Oct 16, 1989",SYBILLE,
12,Female,"May 01, 1985 +/-
6 month",WILD,WILD,Birth/Hatch,"May 01, 1985 +/- 6 month",MEETEETSE,
,,,,,Wild Capture,"Oct 25, 1985",MEETEETSE,
,,,,,Transfer,"Oct 25, 1985",SYBILLE,
,,,,,Death,"Feb 03, 1993",SYBILLE,
13,Male,"Oct 31, 1985 +/-
6 month",9,8,Birth/Hatch,"Oct 31, 1985 +/- 6 month",MEETEETSE,
,,,,,Wild Capture,"Oct 31, 1985",MEETEETSE,
,,,,,Transfer,"Oct 31, 1985",SYBILLE,
,,,,,Death,"Jan 06, 1994",SYBILLE,
14,Male,"Oct 25, 1985 +/-
6 month",9,10,Birth/Hatch,"Oct 25, 1985 +/- 6 month",MEETEETSE,
,,,,,Wild Capture,"Oct 25, 1985",MEETEETSE,
,,,,,Transfer,"Oct 25, 1985",SYBILLE,
,,,,,Death,"Aug 31, 1991",SYBILLE,
15,Male,"Sep 12, 1985 +/-
6 month",9,11,Birth/Hatch,"Sep 12, 1985 +/- 6 month",MEETEETSE,
,,,,,Wild Capture,"Sep 12, 1985",MEETEETSE,
,,,,,Transfer,"Sep 12, 1985",SYBILLE,
,,,,,Death,"Nov 20, 1985",SYBILLE,
16,Male,"May 01, 1986 +/-
6 month",WILD,WILD,Birth/Hatch,"May 01, 1986 +/- 6 month",MEETEETSE,
,,,,,Wild Capture,"Dec 31, 1986 +/- 6 month",MEETEETSE,
,,,,,Transfer,"Dec 31, 1986 +/- 6 month",SYBILLE,
,,,,,Death,"Dec 02, 1991",SYBILLE,
17,Female,"May 01, 1985 +/-
6 month",WILD,WILD,Birth/Hatch,"May 01, 1985 +/- 6 month",MEETEETSE,
,,,,,Wild Capture,"Dec 31, 1986 +/- 6 month",MEETEETSE,
,,,,,Transfer,"Dec 31, 1986 +/- 6 month",SYBILLE,
,,,,,Death,"Dec 04, 1991",SYBILLE,
18,Male,"May 01, 1985 +/-
6 month",WILD,WILD,Birth/Hatch,"May 01, 1985 +/- 6 month",MEETEETSE,
,,,,,Wild Capture,"Feb 28, 1987",MEETEETSE,
,,,,,Transfer,"Feb 28, 1987",SYBILLE,
,,,,,Death,"Jun 15, 1992",SYBILLE,
19,Female,"Jan 01, 1986 +/-
6 month",18,17,Birth/Hatch,"Jan 01, 1986 +/- 6 month",MEETEETSE,
,,,,,Wild Capture,"Jan 01, 1986 +/- 6 month",MEETEETSE,
,,,,,Transfer,"Jan 01, 1986 +/- 6 month",SYBILLE,
,,,,,Death,"May 19, 1992",SYBILLE,
20,Male,"Jan 01, 1986 +/-
6 month",18,17,Birth/Hatch,"Jan 01, 1986 +/- 6 month",MEETEETSE,
