ID,Current_Location,Local_ID,Sex,,Sire,,,Dam,Age,,Event_Type,,Date,,Location,,,
1,PHILADELP,11512,Male,,WILD,,,WILD,"0Y,6M,20D",,Birth/Hatch,,Undetermined,,Africa,,,-
,,,,,,,,,,,"Wild
Capture",,Undetermined,,Africa,,,-
,,,,,,,,,,,Transfer,,"Jul 01, 1900 +/- 6 month",,HAMBURG,,,
,,,,,,,,,,,Transfer,,11-Jul-00,,PHILADELP,,,11512
,,,,,,,,,,,Death,,21-Jul-00,,PHILADELP,,,11512
2,PHILADELP,L2,Male,,WILD,,,WILD,"10Y,5M,24D",,Birth/Hatch,,"Jan 01, 1925 +/- 6 month",,Africa,,,-
,,,,,,,,,,,Wild Capture,,"Jan 01, 1925 +/- 6 month",,Africa,,,-
,,,,,,,,,,,Transfer,,"Jan 01, 1925 +/- 6 month",,JOSEPH E,,,
,,,,,,,,,,,Transfer,,9-Jul-25,,PHILADELP,,,L2
,,,,,,,,,,,Death,,25-Jun-35,,PHILADELP,,,L2
3,PHILADELP,L3,Female,,WILD,,,WILD,"11Y,1M,10D",,Birth/Hatch,,"Jan 01, 1925 +/- 6 month",,Africa,,,-
,,,,,,,,,,,Wild Capture,,"Jan 01, 1925 +/- 6 month",,Africa,,,-
,,,,,,,,,,,Transfer,,"Jan 01, 1925 +/- 6 month",,JOSEPH E,,,
,,,,,,,,,,,Transfer,,9-Jul-25,,PHILADELP,,,L3
,,,,,,,,,,,Death,,11-Feb-36,,PHILADELP,,,L3
4,CHICAGOBR,19845,Female,,WILD,,,WILD,"1Y,4M,30D",,Birth/Hatch,,"Jan 01, 1934 +/- 2 year",,Africa,,,-
,,,,,,,,,,,Wild Capture,,"Jan 01, 1934 +/- 2 year",,Africa,,,-
,,,,,,,,,,,Transfer,,"Mar 01, 1934 +/- 6 month",,UNDETERMI,,,Undetermined
,,,,,,,,,,,Transfer,,20-May-35,,CHICAGOBR,,,19845
,,,,,,,,,,,Death,,31-May-35,,CHICAGOBR,,,19845
5,CHICAGOBR,19846,Male,,WILD,,,WILD,"6Y,0M,0D",,Birth/Hatch,,"Jan 01, 1934 +/- 2 year",,Africa,,,-
,,,,,,,,,,,Wild Capture,,"Jan 01, 1934 +/- 2 year",,Africa,,,-
,,,,,,,,,,,Transfer,,"Mar 01, 1934 +/- 6 month",,UNDETERMI,,,Undetermined
,,,,,,,,,,,Transfer,,20-May-34,,CHICAGOBR,,,19846
,,,,,,,,,,,Death,,"Jan 01, 1940 +/- 7 year",,CHICAGOBR,,,19846
6,CHICAGOBR,19847,Male,,WILD,,,WILD,"6Y,0M,0D",,Birth/Hatch,,"Jan 01, 1934 +/- 2 year",,Africa,,,-
,,,,,,,,,,,"Wild
Capture",,"Jan 01, 1934 +/- 2 year",,Africa,,,-
,,,,,,,,,,,Transfer,,"Mar 01, 1934 +/- 6 month",,UNDETERMI,,,Undetermined
,,,,,,,,,,,Transfer,,20-May-34,,CHICAGOBR,,,19847
,,,,,,,,,,,Death,,"Jan 01, 1940 +/- 7 year",,CHICAGOBR,,,19847
7,CHICAGOBR,19848,Female,,WILD,,,WILD,"6Y,0M,0D",,Birth/Hatch,,"Jan 01, 1934 +/- 2 year",,Africa,,,-
,,,,,,,,,,,"Wild
Capture",,"Jan 01, 1934 +/- 2 year",,Africa,,,-
,,,,,,,,,,,Transfer,,"Mar 01, 1934 +/- 6 month",,UNDETERMI,,,Undetermined
,,,,,,,,,,,Transfer,,20-May-34,,CHICAGOBR,,,19848
,,,,,,,,,,,Death,,"Jan 01, 1940 +/- 7 year",,CHICAGOBR,,,19848
8,CHICAGOBR,19849,Female,,WILD,,,WILD,"6Y,0M,0D",,Birth/Hatch,,"Jan 01, 1934 +/- 2 year",,Africa,,,-
,,,,,,,,,,,"Wild
Capture",,"Jan 01, 1934 +/- 2 year",,Africa,,,-
,,,,,,,,,,,Transfer,,"Mar 01, 1934 +/- 6 month",,UNDETERMI,,,Undetermined
,,,,,,,,,,,Transfer,,20-May-34,,CHICAGOBR,,,19849
,,,,,,,,,,,Death,,"Jan 01, 1940 +/- 7 year",,CHICAGOBR,,,19849
9,CHICAGOBR,19861,Female,,WILD,,,WILD,"6Y,0M,0D",,Birth/Hatch,,"Jan 01, 1934 +/- 2 year",,Africa,,,-
