ID,Current_Location,Current Local ID,Sex,Sire,Dam,Age,Event_Type,Date,Location,Local ID
1081,ALEXANDRI,M00474,Male,960,1007,"9Y,2M,23D",Birth/Hatch,6-Feb-13,DREHER PA,213007
,,,,,,,Transfer,9-Dec-13,ALEXANDRI,M00474
1078,ALEXANDRI,M00472,Male,960,1007,"9Y,2M,23D",Birth/Hatch,6-Feb-13,DREHER PA,213004
,,,,,,,Transfer,9-Dec-13,ALEXANDRI,M00472
1144,ATTLEBORO,122468,Male,UND,UND,"11Y,1M,13D",Birth/Hatch,16-Mar-11,YATES,UNK
,,,,,,,Transfer,16-Jun-11,BUSCH TAM,64934
,,,,,,,Transfer,27-Oct-15,WCSRC,201513
,,,,,,,Transfer,6-Apr-22,ATTLEBORO,122468
1068,ATTLEBORO,115390,Female,915,955,"9Y,9M,13D",Birth/Hatch,16-Jul-12,CINCINNAT,112054
,,,,,,,Transfer,24-Oct-13,BATTLE CR,M13020
,,,,,,,Transfer,23-Dec-15,ATTLEBORO,115390
1014,BINGHAMTO,M09018,Female,UND,UND,"12Y,10M,9D",Birth/Hatch,20-Jun-09,PRIVATE,
,,,,,,,Transfer,24-Jul-09,BINGHAMTO,M09018
,,,,,,,Transfer,21-Oct-14,PITTSBURG,102914
,,,,,,,Transfer,23-Oct-19,BINGHAMTO,M09018
1155,BINGHAMTO,22001,Female,UND,UND,"3Y,11M,28D",Birth/Hatch,"~ from May 01, 2017 to
May 01, 2019",Undetermined,-
,,,,,,,Transfer,"~ from Apr 01, 2021 to
May 31, 2021",WILDCARE,21-2219
,,,,,,,Transfer,21-Apr-22,BINGHAMTO,22001
1066,BIRMINGHM,112006,Male,995,996,"9Y,9M,27D",Birth/Hatch,2-Jul-12,SAFARI W,112062
,,,,,,,Transfer,11-Jul-12,PRIVATE,UNK
,,,,,,,Transfer,6-Sep-12,SAFARI W,112062
,,,,,,,Transfer,6-Sep-12,PRIVATE,UNK
,,,,,,,Transfer,11-Sep-12,SAFARI W,112062
,,,,,,,Transfer,12-Sep-12,BIRMINGHM,112006
2944,CALSCICTR,UNK,Male,1113,1139,"2Y,3M,21D",Birth/Hatch,8-Jan-20,COAL VAL,M2420
,,,,,,,Transfer,28-May-21,CALSCICTR,UNK
1056,CALSCICTR,UNK,Female,897,2871,"9Y,10M,17D",Birth/Hatch,12-Jun-12,PALM DES,412010
,,,,,,,Transfer,4-Jun-21,CALSCICTR,UNK
1104,CHATTANOG,1153,Female,1088,1086,"8Y,7M,18D",Birth/Hatch,11-Sep-13,CHATTANOG,1153
1088,CHATTANOG,4443,Male,UND,UND,"10Y,1M,22D",Birth/Hatch,7-Mar-12,Undetermined,-
,,,,,,,Transfer,11-May-12,CHATTANOG,4443
1021,CHATTANOG,4440,Female,UND,UND,"13Y,3M,28D",Birth/Hatch,1-Jan-09,PRIVATE,SOPHIE
,,,,,,,Transfer,26-Mar-10,CHATTANOG,4440
