"Theme"	"Week"	"Date"	"Day"	"Format"	"Agenda"	"Start"	"End"	"Reading_Title"	"file_key"
NA	1	2025-01-20	"1a"	"Lecture"	"No Class"	2025-01-20 13:00:00	2025-01-20 14:15:00	"None or TBA"	"None or TBA"
NA	1	2025-01-21	"1b"	"Lab"	"Intro to the Class"	2025-01-21 13:00:00	2025-01-21 15:50:00	"None or TBA"	"None or TBA"
NA	1	2025-01-22	"1c"	"Lecture"	NA	2025-01-22 13:00:00	2025-01-22 14:15:00	"None or TBA"	"None or TBA"
"Foundations of Conservation Biology"	2	2025-01-27	"2a"	"Lecture"	"Biodiversity Concepts and Measurement: Genetic Diversity"	2025-01-27 13:00:00	2025-01-27 14:15:00	"Biodiversity Concepts and Measurement: Genetic Diversity"	"53:57"
"Foundations of Conservation Biology"	2	2025-01-28	"2b"	"Lab"	"Biodiversity Concepts and Measurement: Species Diversity"	2025-01-28 13:00:00	2025-01-28 15:50:00	"Biodiversity Concepts and Measurement: Species Diversity"	"58:66"
NA	2	2025-01-29	"2c"	"Lecture"	NA	2025-01-29 13:00:00	2025-01-29 14:15:00	"None or TBA"	"None or TBA"
"Foundations of Conservation Biology"	3	2025-02-03	"3a"	"Lecture"	"Biodiversity Concepts and Measurement: Community and Ecosystem Diversity"	2025-02-03 13:00:00	2025-02-03 14:15:00	"Biodiversity Concepts and Measurement: Community and Ecosystem Diversity"	"67:80"
"Importance of Biodiversity"	3	2025-02-04	"3b"	"Lab"	"Biodiversity and Ecosystem Services"	2025-02-04 13:00:00	2025-02-04 15:50:00	"Biodiversity and Ecosystem Services"	"141:180"
NA	3	2025-02-05	"3c"	"Lecture"	NA	2025-02-05 13:00:00	2025-02-05 14:15:00	"None or TBA"	"None or TBA"
"Threats to Biodiversity"	4	2025-02-10	"4a"	"Lecture"	"Extinction: Global Patterns of Endangerment, Local Changes in Biodiversity"	2025-02-10 13:00:00	2025-02-10 14:15:00	"Extinction: Global Patterns of Endangerment, Local Changes in Biodiversity"	"215:239"
"Threats to Biodiversity"	4	2025-02-11	"4b"	"Lab"	"Extinction: Controls of Extinction Risk"	2025-02-11 13:00:00	2025-02-11 15:50:00	"Extinction: Controls of Extinction Risk"	"240:248"
NA	4	2025-02-12	"4c"	"Lecture"	NA	2025-02-12 13:00:00	2025-02-12 14:15:00	"None or TBA"	"None or TBA"
NA	5	2025-02-17	"5a"	"Lecture"	"Exam"	2025-02-17 13:00:00	2025-02-17 14:15:00	"None or TBA"	"None or TBA"
NA	5	2025-02-18	"5b"	"Lab"	"Film Day"	2025-02-18 13:00:00	2025-02-18 15:50:00	"None or TBA"	"None or TBA"
NA	5	2025-02-19	"5c"	"Lecture"	NA	2025-02-19 13:00:00	2025-02-19 14:15:00	"None or TBA"	"None or TBA"
"Threats to Biodiversity"	6	2025-02-24	"6a"	"Lecture"	"Habitat Loss and Fragmentation"	2025-02-24 13:00:00	2025-02-24 14:15:00	"Habitat Loss and Fragmentation"	"249:276"
"Threats to Biodiversity"	6	2025-02-25	"6b"	"Lab"	"Habitat Degradation"	2025-02-25 13:00:00	2025-02-25 15:50:00	"Habitat Degradation"	"277:284"
NA	6	2025-02-26	"6c"	"Lecture"	NA	2025-02-26 13:00:00	2025-02-26 14:15:00	"None or TBA"	"None or TBA"
"Threats to Biodiversity"	7	2025-03-03	"7a"	"Lecture"	"Metapopulations and Landscape Mosaics"	2025-03-03 13:00:00	2025-03-03 14:15:00	"Metapopulations and Landscape Mosaics"	"285:292"
"Threats to Biodiversity"	7	2025-03-04	"7b"	"Lab"	"Overexploitation"	2025-03-04 13:00:00	2025-03-04 15:50:00	"Overexploitation"	"293:321"
NA	7	2025-03-05	"7c"	"Lecture"	NA	2025-03-05 13:00:00	2025-03-05 14:15:00	"None or TBA"	"None or TBA"
"Threats to Biodiversity"	8	2025-03-10	"8a"	"Lecture"	"Overexploitation"	2025-03-10 13:00:00	2025-03-10 14:15:00	"Overexploitation"	"322:328"
"Threats to Biodiversity"	8	2025-03-11	"8b"	"Lab"	"Invasive Alien Species"	2025-03-11 13:00:00	2025-03-11 15:50:00	"Invasive Alien Species"	"329:368"
NA	8	2025-03-12	"8c"	"Lecture"	NA	2025-03-12 13:00:00	2025-03-12 14:15:00	"None or TBA"	"None or TBA"
NA	9	2025-03-17	"9a"	"Lecture"	"No Class"	2025-03-17 13:00:00	2025-03-17 14:15:00	"None or TBA"	"None or TBA"
NA	9	2025-03-18	"9b"	"Lab"	"No Class"	2025-03-18 13:00:00	2025-03-18 15:50:00	"None or TBA"	"None or TBA"
NA	9	2025-03-19	"9c"	"Lecture"	"No Class"	2025-03-19 13:00:00	2025-03-19 14:15:00	"None or TBA"	"None or TBA"
"Threats to Biodiversity"	10	2025-03-24	"10a"	"Lecture"	"Climate Change"	2025-03-24 13:00:00	2025-03-24 14:15:00	"Climate Change"	"369:373"
"Threats to Biodiversity"	10	2025-03-25	"10b"	"Lab"	"Climate Change"	2025-03-25 13:00:00	2025-03-25 15:50:00	"Climate Change"	"374:402"
NA	10	2025-03-26	"10c"	"Lecture"	NA	2025-03-26 13:00:00	2025-03-26 14:15:00	"None or TBA"	"None or TBA"
NA	11	2025-03-31	"11a"	"Lecture"	"Exam"	2025-03-31 13:00:00	2025-03-31 14:15:00	"None or TBA"	"None or TBA"
NA	11	2025-04-01	"11b"	"Lab"	"Film Day"	2025-04-01 13:00:00	2025-04-01 15:50:00	"None or TBA"	"None or TBA"
NA	11	2025-04-02	"11c"	"Lecture"	NA	2025-04-02 13:00:00	2025-04-02 14:15:00	"None or TBA"	"None or TBA"
"Approaches to Conservation"	12	2025-04-07	"12a"	"Lecture"	"Species-Level Conservation: Goals and Challenges"	2025-04-07 13:00:00	2025-04-07 14:15:00	"Species-Level Conservation: Goals and Challenges"	"405:414"
"Approaches to Conservation"	12	2025-04-08	"12b"	"Lab"	"Species-Level Conservation: Statistics and Probability"	2025-04-08 13:00:00	2025-04-08 15:50:00	"Species-Level Conservation: Statistics and Probability"	"415:444"
NA	12	2025-04-09	"12c"	"Lecture"	NA	2025-04-09 13:00:00	2025-04-09 14:15:00	"None or TBA"	"None or TBA"
"Approaches to Conservation"	13	2025-04-14	"13a"	"Lecture"	"Community and Ecosystem Conservation"	2025-04-14 13:00:00	2025-04-14 14:15:00	"Community and Ecosystem Conservation"	"445:476"
"Approaches to Conservation"	13	2025-04-15	"13b"	"Lab"	"Landscape-Scale Conservation: PA Networks"	2025-04-15 13:00:00	2025-04-15 15:50:00	"Landscape-Scale Conservation: PA Networks"	"477:505"
NA	13	2025-04-16	"13c"	"Lecture"	NA	2025-04-16 13:00:00	2025-04-16 14:15:00	"None or TBA"	"None or TBA"
"Approaches to Conservation"	14	2025-04-21	"14a"	"Lecture"	"Landscape-Scale Conservation: Monitoring and Modeling"	2025-04-21 13:00:00	2025-04-21 14:15:00	"Landscape-Scale Conservation: Monitoring and Modeling"	"506:520"
"Approaches to Conservation"	14	2025-04-22	"14b"	"Lab"	"Ex Situ Conservation: Facilities"	2025-04-22 13:00:00	2025-04-22 15:50:00	"Ex Situ Conservation: Facilities"	"521:537"
NA	14	2025-04-23	"14c"	"Lecture"	NA	2025-04-23 13:00:00	2025-04-23 14:15:00	"None or TBA"	"None or TBA"
"Approaches to Conservation"	15	2025-04-28	"15a"	"Lecture"	"Ex Situ Conservation: In Situ Contributions"	2025-04-28 13:00:00	2025-04-28 14:15:00	"Ex Situ Conservation: In Situ Contributions"	"538:554"
"Approaches to Conservation"	15	2025-04-29	"15b"	"Lab"	"Sustainable Development: Case Studies"	2025-04-29 13:00:00	2025-04-29 15:50:00	"Sustainable Development: Case Studies"	"573:582"
NA	15	2025-04-30	"15c"	"Lecture"	NA	2025-04-30 13:00:00	2025-04-30 14:15:00	"None or TBA"	"None or TBA"
NA	16	2025-05-05	"16a"	"Lecture"	"Film Day"	2025-05-05 13:00:00	2025-05-05 14:15:00	"None or TBA"	"None or TBA"
NA	16	2025-05-06	"16b"	"Lab"	"Film Day"	2025-05-06 13:00:00	2025-05-06 15:50:00	"None or TBA"	"None or TBA"
NA	16	2025-05-07	"16c"	"Lecture"	NA	2025-05-07 13:00:00	2025-05-07 14:15:00	"None or TBA"	"None or TBA"
NA	17	2025-05-12	"17a"	"Lecture"	"Exam"	2025-05-12 12:30:00	2025-05-12 14:30:00	"None or TBA"	"None or TBA"
